surah:ayah	position	word	meaning	form	p-o-s	ayah_link
39:49	3	l-insāna	[the] man	I	Noun	 فَإِذَا مَسَّ الْإِنْسَانَ ضُرٌّ دَعَانَا
41:49	3	l-insānu	man	I	Noun	 لَا يَسْأَمُ الْإِنْسَانُ مِنْ دُعَاءِ الْخَيْرِ
41:51	4	l-insāni	man	I	Noun	 وَإِذَا أَنْعَمْنَا عَلَى الْإِنْسَانِ أَعْرَضَ وَنَأَىٰ بِجَانِبِهِ
42:48	14	l-insāna	[the] man	I	Noun	 وَإِنَّا إِذَا أَذَقْنَا الْإِنْسَانَ مِنَّا رَحْمَةً فَرِحَ بِهَا
42:48	26	l-insāna	[the] man	I	Noun	 وَإِنْ تُصِبْهُمْ سَيِّئَةٌ بِمَا قَدَّمَتْ أَيْدِيهِمْ فَإِنَّ الْإِنْسَانَ كَفُورٌ
43:15	7	l-insāna	man	I	Noun	 إِنَّ الْإِنْسَانَ لَكَفُورٌ مُبِينٌ
46:15	2	l-insāna	(on) man	I	Noun	 وَوَصَّيْنَا الْإِنْسَانَ بِوَالِدَيْهِ إِحْسَانًا
50:16	3	l-insāna	man	I	Noun	 وَلَقَدْ خَلَقْنَا الْإِنْسَانَ وَنَعْلَمُ مَا تُوَسْوِسُ بِهِ نَفْسُهُ
53:24	2	lil'insāni	(is) for man	I	Noun	 أَمْ لِلْإِنْسَانِ مَا تَمَنَّىٰ
53:39	3	lil'insāni	for man	I	Noun	 وَأَنْ لَيْسَ لِلْإِنْسَانِ إِلَّا مَا سَعَىٰ
55:3	2	l-insāna	[the] man	I	Noun	 خَلَقَ الْإِنْسَانَ
55:14	2	l-insāna	the man	I	Noun	 خَلَقَ الْإِنْسَانَ مِنْ صَلْصَالٍ كَالْفَخَّارِ
59:16	5	lil'insāni	to man	I	Noun	 كَمَثَلِ الشَّيْطَانِ إِذْ قَالَ لِلْإِنْسَانِ اكْفُرْ
70:19	2	l-insāna	the man	I	Noun	 إِنَّ الْإِنْسَانَ خُلِقَ هَلُوعًا
75:3	2	l-insānu	[the] man	I	Noun	 أَيَحْسَبُ الْإِنْسَانُ أَلَّنْ نَجْمَعَ عِظَامَهُ
75:5	3	l-insānu	[the] man	I	Noun	 بَلْ يُرِيدُ الْإِنْسَانُ لِيَفْجُرَ أَمَامَهُ
75:10	2	l-insānu	[the] man	I	Noun	 يَقُولُ الْإِنْسَانُ يَوْمَئِذٍ أَيْنَ الْمَفَرُّ
75:13	2	l-insānu	[the] man	I	Noun	 يُنَبَّأُ الْإِنْسَانُ يَوْمَئِذٍ بِمَا قَدَّمَ وَأَخَّرَ
75:14	2	l-insānu	[The] man	I	Noun	 بَلِ الْإِنْسَانُ عَلَىٰ نَفْسِهِ بَصِيرَةٌ
75:36	2	l-insānu	man	I	Noun	 أَيَحْسَبُ الْإِنْسَانُ أَنْ يُتْرَكَ سُدًى
76:1	4	l-insāni	man	I	Noun	 هَلْ أَتَىٰ عَلَى الْإِنْسَانِ حِينٌ مِنَ الدَّهْرِ لَمْ يَكُنْ شَيْئًا
76:2	3	l-insāna	man	I	Noun	 إِنَّا خَلَقْنَا الْإِنْسَانَ مِنْ نُطْفَةٍ أَمْشَاجٍ نَبْتَلِيهِ
79:35	3	l-insānu	man	I	Noun	 يَوْمَ يَتَذَكَّرُ الْإِنْسَانُ مَا سَعَىٰ
80:17	2	l-insānu	[the] man	I	Noun	 قُتِلَ الْإِنْسَانُ مَا أَكْفَرَهُ
80:24	2	l-insānu	the man	I	Noun	 فَلْيَنْظُرِ الْإِنْسَانُ إِلَىٰ طَعَامِهِ
82:6	2	l-insānu	man	I	Noun	 يَا أَيُّهَا الْإِنْسَانُ مَا غَرَّكَ بِرَبِّكَ الْكَرِيمِ
84:6	2	l-insānu	mankind	I	Noun	 يَا أَيُّهَا الْإِنْسَانُ إِنَّكَ كَادِحٌ إِلَىٰ رَبِّكَ كَدْحًا
86:5	2	l-insānu	man	I	Noun	 فَلْيَنْظُرِ الْإِنْسَانُ مِمَّ خُلِقَ
89:15	2	l-insānu	man	I	Noun	 فَأَمَّا الْإِنْسَانُ إِذَا مَا ابْتَلَاهُ رَبُّهُ فَأَكْرَمَهُ وَنَعَّمَهُ فَيَقُولُ رَبِّي أَكْرَمَنِ
89:23	6	l-insānu	man	I	Noun	 يَوْمَئِذٍ يَتَذَكَّرُ الْإِنْسَانُ وَأَنَّىٰ لَهُ الذِّكْرَىٰ
90:4	3	l-insāna	man	I	Noun	 لَقَدْ خَلَقْنَا الْإِنْسَانَ فِي كَبَدٍ
95:4	3	l-insāna	man	I	Noun	 لَقَدْ خَلَقْنَا الْإِنْسَانَ فِي أَحْسَنِ تَقْوِيمٍ
96:2	2	l-insāna	man	I	Noun	 خَلَقَ الْإِنْسَانَ مِنْ عَلَقٍ
96:5	2	l-insāna	man	I	Noun	 عَلَّمَ الْإِنْسَانَ مَا لَمْ يَعْلَمْ
96:6	3	l-insāna	man	I	Noun	 كَلَّا إِنَّ الْإِنْسَانَ لَيَطْغَىٰ
99:3	2	l-insānu	man	I	Noun	 وَقَالَ الْإِنْسَانُ مَا لَهَا
100:6	2	l-insāna	mankind	I	Noun	 إِنَّ الْإِنْسَانَ لِرَبِّهِ لَكَنُودٌ
103:2	2	l-insāna	mankind	I	Noun	 إِنَّ الْإِنْسَانَ لَفِي خُسْرٍ
19:26	18	insiyyan	(to any) human being	I	Noun	 إِنِّي نَذَرْتُ لِلرَّحْمَٰنِ صَوْمًا فَلَنْ أُكَلِّمَ الْيَوْمَ إِنْسِيًّا
33:53	25	mus'tanisīna	seeking to remain	X	Active participle	 فَإِذَا طَعِمْتُمْ فَانْتَشِرُوا وَلَا مُسْتَأْنِسِينَ لِحَدِيثٍ
